
customerid,y_true,score_churn,y_pred_0p50,y_pred_0.338
5567-WSELE,1,0.9436535409133644,1,1
8149-RSOUN,1,0.9413619857734667,1,1
4910-GMJOT,1,0.9408218684411886,1,1
3988-RQIXO,1,0.934938149691014,1,1
5419-JPRRN,1,0.9339951021165668,1,1
8884-ADFVN,1,0.9337108513757433,1,1
1273-MTETI,1,0.9317549015273061,1,1
9681-OXGVC,1,0.9316218766848878,1,1
7450-NWRTR,1,0.9298120780129805,1,1
6521-YYTYI,1,0.9294613550320907,1,1
2265-CYWIV,1,0.9283364953373693,1,1
0107-YHINA,1,0.9263682185523072,1,1
4145-UQXUQ,1,0.9226080352263853,1,1
8414-MYSHR,1,0.9224192538136411,1,1
8739-XNIKG,0,0.921911294385427,1,1
0722-TROQR,1,0.9200290420909698,1,1
6474-FVJLC,1,0.9149973331509816,1,1
6015-VVHHE,1,0.9124473313604449,1,1
0754-UKWQP,1,0.9104673505539652,1,1
7074-IEVOJ,1,0.9103293359493705,1,1
4415-IJZTP,1,0.9099698965899178,1,1
3398-FSHON,1,0.9089314121840147,1,1
2609-IAICY,1,0.907109588073055,1,1
6328-ZPBGN,1,0.9066176720154596,1,1
2672-HUYVI,1,0.9064966127337478,1,1
2691-NZETQ,1,0.9054402352454288,1,1
9306-CPCBC,1,0.9045420764176568,1,1
1704-NRWYE,1,0.9036434727780488,1,1
4529-CKBCL,1,0.9033782563887582,1,1
1320-HTRDR,1,0.9032444758086771,1,1
2636-ALXXZ,1,0.9031733593206102,1,1
7760-OYPDY,1,0.9028371841501018,1,1
9172-ANCRX,1,0.9023287482506029,1,1
8051-HJRLT,1,0.9020887504952845,1,1
9957-YODKZ,0,0.9018116499039615,1,1
6357-JJPQT,0,0.9002618786545049,1,1
4192-GORJT,1,0.9000286498445883,1,1
8808-ELEHO,1,0.8998163790673708,1,1
0637-KVDLV,1,0.8994350308893954,1,1
0404-SWRVG,1,0.8988512801050053,1,1
2506-TNFCO,1,0.8985537243223207,1,1
4795-KTRTH,1,0.8985195262497567,1,1
5299-SJCZT,1,0.8984483688900823,1,1
5229-PRWKT,1,0.8981310322532949,1,1
6210-KBBPI,1,0.897974639253037,1,1
7249-WBIYX,1,0.8973203677065927,1,1
3387-VATUS,1,0.8972348552145992,1,1
4614-NUVZD,1,0.8968810837296866,1,1
2055-PDADH,1,0.8960956844656371,1,1
2004-OCQXK,1,0.8958553894326733,1,1
5835-BEQEU,1,0.8957498988892759,1,1
5348-CAGXB,0,0.8955188513079999,1,1
4060-LDNLU,0,0.8952721956292905,1,1
2982-IHMFT,1,0.8932844167509199,1,1
0122-OAHPZ,1,0.8930803963720318,1,1
2868-MZAGQ,1,0.8930287638456436,1,1
8622-ZLFKO,0,0.891756137404642,1,1
1363-TXLSL,1,0.8915333852995245,1,1
7341-LXCAF,1,0.8904671044190292,1,1
7493-TPUWZ,1,0.8904144940550126,1,1
4210-QFJMF,1,0.8900844324659924,1,1
5561-NWEVX,1,0.889590798640203,1,1
0195-IESCP,1,0.8892938868813509,1,1
4229-CZMLL,1,0.8890920003653218,1,1
8775-ERLNB,0,0.8887337643545774,1,1
8245-UMPYT,1,0.8882879194856228,1,1
2180-DXNEG,1,0.8879533426719991,1,1
3199-XGZCY,0,0.8879485559327861,1,1
9878-TNQGW,1,0.8878809091584076,1,1
3292-PBZEJ,0,0.8877862696590176,1,1
5935-FCCNB,0,0.8872023288361282,1,1
3320-VEOYC,0,0.887148509913884,1,1
4282-YMKNA,1,0.8861020200462705,1,1
3045-XETSH,1,0.8842837979103904,1,1
7660-HDPJV,1,0.8816352670828778,1,1
9728-FTTVZ,1,0.8816352670828778,1,1
5378-IKEEG,1,0.8808479544775725,1,1
1640-PLFMP,0,0.8802044527771822,1,1
4853-OITSN,0,0.8770527983781986,1,1
6960-HVYXR,1,0.8746820000830964,1,1
1016-DJTSV,0,0.8736202853281112,1,1
3494-JCHRQ,1,0.8734653084179854,1,1
7245-NIIWQ,0,0.8733515085759455,1,1
5159-YFPKQ,1,0.8730673439962106,1,1
1564-NTYXF,1,0.8725638570744246,1,1
1569-TTNYJ,1,0.8722557119118993,1,1
2018-QKYGT,0,0.870643503384388,1,1
8835-VSDSE,1,0.870190370722453,1,1
9717-QEBGU,0,0.8693965789388263,1,1
9408-SSNVZ,1,0.869115958103504,1,1
3276-HDUEG,1,0.8683859750369385,1,1
3138-BKYAV,1,0.8681294149537243,1,1
5167-ZFFMM,1,0.8680118459547753,1,1
0822-GAVAP,1,0.8675672255449471,1,1
2984-AFWNC,0,0.8675138649620474,1,1
0306-JAELE,1,0.8673154069701368,1,1
1184-PJVDB,1,0.8669351781030771,1,1
